"QueryNum","K_length","K_layers","iter","NoPrune Optimizer","NoPrune Memory","Normal Optimizer","Normal Memory","Greedy Optimizer","Greedy Memory"
"96","10","2","4","360","18114624","76","4538112","2","18624"
"96","10","2","5","361","18114624","76","4538112","4","18624"
"96","10","2","6","366","18114624","75","4538112","2","18624"
"96","10","2","7","365","18114624","74","4538112","3","18624"
"96","10","2","8","365","18114624","75","4538112","3","18624"
"96","10","2","9","360","18114624","76","4538112","3","18624"
"96","10","2","10","360","18114624","76","4538112","3","18624"
"96","10","2","11","363","18114624","76","4538112","2","18624"
"96","10","2","12","360","18114624","76","4538112","3","18624"
"96","10","2","13","368","18114624","78","4538112","3","18624"
"96","10","2","14","361","18114624","76","4538112","3","18624"
"96","10","2","15","363","18114624","79","4538112","3","18624"
"108","10","2","0","403","20378952","85","5105376","3","20952"
"108","10","2","1","398","20378952","84","5105376","4","20952"
"108","10","2","2","402","20378952","85","5105376","3","20952"
"108","10","2","3","402","20378952","84","5105376","3","20952"
"108","10","2","4","397","20378952","86","5105376","3","20952"
"108","10","2","5","401","20378952","85","5105376","3","20952"
"108","10","2","6","401","20378952","84","5105376","3","20952"
"108","10","2","7","401","20378952","84","5105376","3","20952"
"108","10","2","8","403","20378952","84","5105376","3","20952"
"108","10","2","9","399","20378952","86","5105376","3","20952"
"108","10","2","10","400","20378952","84","5105376","4","20952"
"108","10","2","11","401","20378952","85","5105376","3","20952"
"108","10","2","12","404","20378952","84","5105376","3","20952"
"108","10","2","13","397","20378952","85","5105376","3","20952"
"108","10","2","14","402","20378952","84","5105376","3","20952"
"108","10","2","15","399","20378952","86","5105376","3","20952"
"120","10","2","0","451","22643280","94","5672640","4","23280"
"120","10","2","1","449","22643280","95","5672640","4","23280"
"120","10","2","2","456","22643280","93","5672640","3","23280"
"120","10","2","3","449","22643280","95","5672640","3","23280"
"120","10","2","4","448","22643280","96","5672640","3","23280"
"120","10","2","5","446","22643280","95","5672640","3","23280"
"120","10","2","6","450","22643280","94","5672640","3","23280"
"120","10","2","7","445","22643280","95","5672640","3","23280"
"120","10","2","8","447","22643280","95","5672640","3","23280"
"120","10","2","9","448","22643280","93","5672640","5","23280"
"120","10","2","10","449","22643280","94","5672640","3","23280"
"120","10","2","11","449","22643280","95","5672640","3","23280"
"120","10","2","12","449","22643280","95","5672640","3","23280"
"120","10","2","13","453","22643280","96","5672640","4","23280"
"120","10","2","14","446","22643280","96","5672640","3","23280"
"120","10","2","15","450","22643280","95","5672640","4","23280"
"12","10","2","0","44","2264328","10","567264","0","2328"
"12","10","2","1","46","2264328","9","567264","1","2328"
"12","10","2","2","44","2264328","10","567264","0","2328"
"12","10","2","3","47","2264328","10","567264","0","2328"
"12","10","2","4","46","2264328","9","567264","1","2328"
"12","10","2","5","45","2264328","10","567264","0","2328"
"12","10","2","6","44","2264328","9","567264","1","2328"
"12","10","2","7","43","2264328","11","567264","0","2328"
"12","10","2","8","44","2264328","10","567264","0","2328"
"12","10","2","9","44","2264328","10","567264","0","2328"
"12","10","2","10","43","2264328","10","567264","0","2328"
"12","10","2","11","44","2264328","10","567264","0","2328"
"12","10","2","12","43","2264328","10","567264","0","2328"
"12","10","2","13","43","2264328","10","567264","0","2328"
"12","10","2","14","45","2264328","10","567264","0","2328"
"12","10","2","15","44","2264328","10","567264","0","2328"
"24","10","2","0","100","4528656","21","1134528","1","4656"
"24","10","2","1","101","4528656","23","1134528","1","4656"
"24","10","2","2","99","4528656","22","1134528","1","4656"
"24","10","2","3","98","4528656","23","1134528","1","4656"
"24","10","2","4","100","4528656","21","1134528","1","4656"
"24","10","2","5","100","4528656","22","1134528","0","4656"
"24","10","2","6","100","4528656","22","1134528","1","4656"
"24","10","2","7","99","4528656","21","1134528","1","4656"
"24","10","2","8","99","4528656","21","1134528","1","4656"
"24","10","2","9","101","4528656","21","1134528","1","4656"
"24","10","2","10","99","4528656","22","1134528","1","4656"
"24","10","2","11","101","4528656","22","1134528","1","4656"
"24","10","2","12","100","4528656","21","1134528","1","4656"
"24","10","2","13","101","4528656","22","1134528","1","4656"
"24","10","2","14","101","4528656","21","1134528","1","4656"
"24","10","2","15","99","4528656","21","1134528","0","4656"
"36","10","2","0","120","6792984","26","1701792","1","6984"
"36","10","2","1","117","6792984","24","1701792","1","6984"
"36","10","2","2","118","6792984","25","1701792","1","6984"
"36","10","2","3","126","6792984","25","1701792","1","6984"
"36","10","2","4","120","6792984","25","1701792","1","6984"
"36","10","2","5","121","6792984","24","1701792","1","6984"
"36","10","2","6","119","6792984","25","1701792","1","6984"
"36","10","2","7","121","6792984","24","1701792","1","6984"
"36","10","2","8","121","6792984","24","1701792","1","6984"
"36","10","2","9","120","6792984","26","1701792","1","6984"
"36","10","2","10","120","6792984","25","1701792","1","6984"
"36","10","2","11","124","6792984","27","1701792","1","6984"
"36","10","2","12","122","6792984","25","1701792","1","6984"
"36","10","2","13","124","6792984","26","1701792","1","6984"
"36","10","2","14","120","6792984","24","1701792","1","6984"
"36","10","2","15","122","6792984","25","1701792","1","6984"
"48","10","2","0","154","9057312","31","2269056","1","9312"
"48","10","2","1","157","9057312","32","2269056","1","9312"
"48","10","2","2","153","9057312","32","2269056","1","9312"
"48","10","2","3","155","9057312","32","2269056","2","9312"
"48","10","2","4","156","9057312","32","2269056","1","9312"
"48","10","2","5","152","9057312","32","2269056","2","9312"
"48","10","2","6","156","9057312","31","2269056","1","9312"
"48","10","2","7","152","9057312","31","2269056","1","9312"
"48","10","2","8","154","9057312","32","2269056","2","9312"
"48","10","2","9","152","9057312","31","2269056","2","9312"
"48","10","2","10","157","9057312","31","2269056","1","9312"
"48","10","2","11","157","9057312","32","2269056","1","9312"
"48","10","2","12","155","9057312","32","2269056","1","9312"
"48","10","2","13","154","9057312","33","2269056","1","9312"
"48","10","2","14","155","9057312","31","2269056","2","9312"
"48","10","2","15","154","9057312","33","2269056","1","9312"
"60","10","2","0","229","11321640","49","2836320","2","11640"
"60","10","2","1","229","11321640","50","2836320","2","11640"
"60","10","2","2","230","11321640","50","2836320","1","11640"
"60","10","2","3","229","11321640","51","2836320","2","11640"
"60","10","2","4","230","11321640","49","2836320","3","11640"
"60","10","2","5","228","11321640","49","2836320","2","11640"
"60","10","2","6","234","11321640","48","2836320","2","11640"
"60","10","2","7","230","11321640","48","2836320","2","11640"
"60","10","2","8","231","11321640","51","2836320","1","11640"
"60","10","2","9","229","11321640","49","2836320","2","11640"
"60","10","2","10","228","11321640","51","2836320","1","11640"
"60","10","2","11","229","11321640","48","2836320","2","11640"
"60","10","2","12","231","11321640","50","2836320","1","11640"
"60","10","2","13","228","11321640","49","2836320","2","11640"
"60","10","2","14","232","11321640","50","2836320","2","11640"
"60","10","2","15","231","11321640","49","2836320","1","11640"
"72","10","2","0","259","13585968","54","3403584","2","13968"
"72","10","2","1","257","13585968","58","3403584","2","13968"
"72","10","2","2","259","13585968","55","3403584","2","13968"
"72","10","2","3","256","13585968","56","3403584","4","13968"
"72","10","2","4","261","13585968","53","3403584","2","13968"
"72","10","2","5","260","13585968","54","3403584","2","13968"
"72","10","2","6","257","13585968","55","3403584","2","13968"
"72","10","2","7","257","13585968","55","3403584","3","13968"
"72","10","2","8","257","13585968","56","3403584","3","13968"
"72","10","2","9","258","13585968","54","3403584","2","13968"
"72","10","2","10","257","13585968","55","3403584","2","13968"
"72","10","2","11","258","13585968","56","3403584","2","13968"
"72","10","2","12","258","13585968","58","3403584","2","13968"
"72","10","2","13","257","13585968","57","3403584","2","13968"
"72","10","2","14","258","13585968","54","3403584","2","13968"
"72","10","2","15","265","13585968","57","3403584","2","13968"
"84","10","2","0","303","15850296","62","3970848","2","16296"
"84","10","2","1","302","15850296","64","3970848","2","16296"
"84","10","2","2","301","15850296","63","3970848","3","16296"
"84","10","2","3","302","15850296","62","3970848","2","16296"
"84","10","2","4","298","15850296","62","3970848","4","16296"
"84","10","2","5","299","15850296","66","3970848","2","16296"
"84","10","2","6","300","15850296","63","3970848","3","16296"
"84","10","2","7","298","15850296","63","3970848","2","16296"
"84","10","2","8","300","15850296","63","3970848","2","16296"
"84","10","2","9","298","15850296","63","3970848","3","16296"
"84","10","2","10","299","15850296","62","3970848","3","16296"
"84","10","2","11","300","15850296","62","3970848","2","16296"
"84","10","2","12","301","15850296","63","3970848","2","16296"
"84","10","2","13","301","15850296","64","3970848","3","16296"
"84","10","2","14","303","15850296","61","3970848","2","16296"
"84","10","2","15","304","15850296","63","3970848","2","16296"
"96","10","2","0","361","18114624","74","4538112","3","18624"
"96","10","2","1","363","18114624","75","4538112","3","18624"
"96","10","2","2","364","18114624","75","4538112","3","18624"
"96","10","2","3","360","18114624","76","4538112","3","18624"
"96","10","2","4","359","18114624","77","4538112","2","18624"
"96","10","2","5","358","18114624","77","4538112","3","18624"
"96","10","2","6","360","18114624","78","4538112","3","18624"
"96","10","2","7","358","18114624","76","4538112","3","18624"
"96","10","2","8","377","18114624","78","4538112","5","18624"
"96","10","2","9","375","18114624","77","4538112","3","18624"
"96","10","2","10","378","18114624","78","4538112","3","18624"
"96","10","2","11","377","18114624","78","4538112","3","18624"
"96","10","2","12","369","18114624","80","4538112","3","18624"
"96","10","2","13","368","18114624","77","4538112","3","18624"
"96","10","2","14","367","18114624","78","4538112","2","18624"
"96","10","2","15","369","18114624","80","4538112","3","18624"
"108","10","2","0","400","20378952","84","5105376","3","20952"
"108","10","2","1","403","20378952","84","5105376","3","20952"
"108","10","2","2","399","20378952","85","5105376","3","20952"
